iter	Logloss
0	0.5752509975
1	0.4917204189
2	0.427928648
3	0.379325633
4	0.342390995
5	0.3143937731
6	0.2914825892
7	0.269234066
8	0.2487861729
9	0.2299342775
10	0.2170655632
11	0.2052045441
12	0.2011964869
13	0.1980428886
14	0.1928047562
15	0.1851456571
16	0.1816061425
17	0.1731133318
18	0.1717114711
19	0.170541631
20	0.169373529
21	0.1684783471
22	0.1661900353
23	0.1617288876
24	0.1579118264
25	0.157197783
26	0.1565132713
27	0.1559801126
28	0.1553967929
29	0.1546081305
30	0.1538775826
31	0.1533205616
32	0.152887944
33	0.150333761
34	0.1499550891
35	0.1494015205
36	0.148175652
37	0.1477072263
38	0.1471867514
39	0.1466267991
40	0.1462822998
41	0.1458882201
42	0.14389691
43	0.1433526242
44	0.1430365479
45	0.1426901829
46	0.1423857272
47	0.1420678258
48	0.1416403615
49	0.141334368
50	0.140955056
51	0.1406850338
52	0.1401399791
53	0.1398174715
54	0.13949049
55	0.1391117024
56	0.1388227677
57	0.1384424829
58	0.1381983411
59	0.1378655386
60	0.1375609601
61	0.1373599291
62	0.1369995785
63	0.1366816628
64	0.1364963436
65	0.136206286
66	0.135836674
67	0.135581876
68	0.1353962076
69	0.1351265574
70	0.1348600185
71	0.1345970345
72	0.1342837036
73	0.1340225637
74	0.1337865663
75	0.1332192254
76	0.132863102
77	0.1326365554
78	0.1323837352
79	0.1321908748
80	0.131921289
81	0.1316040123
82	0.1313415933
83	0.1311060083
84	0.1307502878
85	0.1305117917
86	0.130209167
87	0.1298954833
88	0.129612869
89	0.1294417357
90	0.1291010261
91	0.1287222219
92	0.1284567618
93	0.1282338679
94	0.1279511297
95	0.1277861798
96	0.1273939908
97	0.1271526611
98	0.1268313158
99	0.1264919722
100	0.1262495375
101	0.1260259926
102	0.1257383919
103	0.1245778716
104	0.1241816258
105	0.1238978386
106	0.1236183584
107	0.1232400358
108	0.1229714751
109	0.1216510403
110	0.1214416969
111	0.1211188996
112	0.1209295905
113	0.1207428062
114	0.120493573
115	0.1202763879
116	0.1200650764
117	0.1190690351
118	0.1188432145
119	0.1186506379
120	0.1183882022
121	0.1180774271
122	0.11791219
123	0.1176140296
124	0.1172331536
125	0.1171016264
126	0.116804074
127	0.1165093136
128	0.1163067818
129	0.1161397231
130	0.1158309495
131	0.115515492
132	0.1152395809
133	0.1149274147
134	0.1147621703
135	0.114523648
136	0.1142851591
137	0.1140496314
138	0.1138713372
139	0.1136120892
140	0.1133255148
141	0.1131395066
142	0.1128939807
143	0.1126097596
144	0.1123308909
145	0.1121273243
146	0.1119212008
147	0.111462934
148	0.1112086904
149	0.1110415983
150	0.1107746649
151	0.1104930305
152	0.1101363516
153	0.1098031235
154	0.1095963752
155	0.1093994784
156	0.1092052495
157	0.1089817345
158	0.1087744844
159	0.1085067153
160	0.1082461703
161	0.1075989532
162	0.1073190856
163	0.1070976961
164	0.10689165
165	0.1066733813
166	0.1064427078
167	0.1062719381
168	0.1061237776
169	0.1058752084
170	0.1055149925
171	0.1052991211
172	0.105110302
173	0.1046718216
174	0.104495908
175	0.1043235624
176	0.104030118
177	0.1035577893
178	0.1033018637
179	0.103120147
180	0.1029335272
181	0.1027913642
182	0.1026270366
183	0.102415247
184	0.1022252607
185	0.1020459247
186	0.1017530477
