iter	Passed	Remaining
0	13	5974
1	26	5792
2	37	5318
3	49	5333
4	60	5129
5	71	5103
6	83	5055
7	94	5015
8	105	4952
9	116	4926
10	130	4985
11	141	4956
12	151	4889
13	162	4850
14	172	4788
15	185	4813
16	194	4742
17	205	4736
18	218	4739
19	230	4738
20	241	4721
21	255	4757
22	266	4739
23	276	4703
24	285	4650
25	297	4645
26	307	4615
27	320	4617
28	334	4642
29	348	4669
30	360	4661
31	373	4668
32	394	4764
33	415	4866
34	432	4907
35	446	4906
36	458	4898
37	467	4845
38	479	4828
39	489	4794
40	498	4751
41	508	4719
42	520	4704
43	531	4683
44	541	4660
45	551	4628
46	560	4590
47	573	4588
48	592	4629
49	620	4737
50	637	4763
51	655	4788
52	671	4803
53	688	4822
54	717	4917
55	760	5103
56	791	5207
57	820	5289
58	839	5308
59	870	5395
60	902	5488
61	922	5505
62	938	5496
63	953	5485
64	969	5474
65	985	5463
66	999	5446
67	1013	5427
68	1028	5409
69	1044	5403
70	1060	5391
71	1075	5377
72	1092	5372
73	1108	5364
74	1123	5349
75	1138	5333
76	1153	5317
77	1169	5308
78	1182	5282
79	1199	5279
80	1215	5265
81	1230	5251
82	1247	5244
83	1270	5263
84	1288	5261
85	1306	5258
86	1323	5248
87	1342	5247
88	1369	5278
89	1390	5283
90	1408	5279
91	1421	5253
92	1432	5222
93	1445	5198
94	1458	5175
95	1471	5149
96	1482	5120
97	1495	5096
98	1626	5471
99	1740	5777
100	1769	5800
101	1790	5793
102	1816	5803
103	1841	5806
104	1873	5834
105	1895	5830
106	1913	5811
107	1936	5810
108	1960	5810
109	1980	5796
110	2021	5845
111	2170	6202
112	2193	6192
113	2227	6212
114	2248	6198
115	2271	6188
116	2295	6179
117	2316	6163
118	2338	6149
119	2356	6128
120	2375	6104
121	2394	6083
122	2407	6047
123	2423	6020
124	2440	5993
125	2457	5968
126	2472	5938
127	2488	5910
128	2504	5881
129	2519	5853
130	2535	5826
131	2552	5801
132	2571	5780
133	2587	5755
134	2605	5731
135	2623	5709
136	2638	5682
137	2655	5658
138	2671	5630
139	2686	5603
140	2701	5576
141	2720	5556
142	2737	5532
143	2753	5506
144	2769	5481
145	2786	5459
146	2805	5439
147	2821	5414
148	2837	5388
149	2854	5365
150	2869	5339
151	2886	5316
152	2907	5302
153	2924	5279
154	3059	5468
155	3132	5542
156	3159	5534
157	3208	5563
158	3246	5573
159	3420	5814
160	3684	6202
161	3940	6567
162	4019	6634
163	4328	7073
164	4604	7451
165	4675	7492
166	4736	7516
167	4778	7508
168	4810	7485
169	4843	7464
170	4937	7536
171	5000	7558
172	5033	7535
173	5198	7707
174	5428	7972
175	5454	7933
176	5567	8020
177	5637	8044
178	5660	8000
179	5700	7980
180	5731	7948
181	5756	7907
182	5791	7880
183	5850	7886
184	5892	7867
185	5979	7908
186	6018	7885
